EEG C3-A1	EEG O1-A1	EEG C4-A1	EEG O2-A1
5.56640625  -12.40234375    0.9765625	13.76953125
4.78515625	-11.23046875	-0.09765625	17.08984375
4.296875	-11.23046875	0.9765625	17.96875
4.78515625	-12.01171875	6.34765625	20.1171875
4.1015625	-13.18359375	8.10546875	17.3828125
3.3203125	-12.01171875	11.71875	18.359375
6.15234375	-14.0625	13.57421875	17.48046875
14.94140625	-12.109375	16.9921875	19.23828125
25	-8.984375	19.921875	21.09375
30.95703125	-5.95703125	23.6328125	18.9453125
29.8828125	-4.58984375	19.23828125	14.74609375
25.87890625	-2.63671875	15.4296875	13.18359375
16.9921875	-4.58984375	10.44921875	10.64453125
11.03515625	-4.00390625	6.93359375	11.23046875
6.25	-4.00390625	4.78515625	14.453125
3.61328125	-2.5390625	5.2734375	18.06640625
3.02734375	-3.61328125	4.8828125	21.19140625
2.63671875	-3.41796875	1.66015625	22.16796875
5.17578125	-4.00390625	3.7109375	23.4375
7.6171875	-3.02734375	7.51953125	26.5625
12.20703125	-0.9765625	12.40234375	27.9296875
17.28515625	2.44140625	17.08984375	30.76171875
21.09375	5.76171875	20.3125	32.2265625
21.97265625	6.25	22.16796875	30.46875
18.84765625	4.58984375	21.97265625	27.1484375
18.06640625	3.80859375	21.875	25.48828125
16.50390625	3.02734375	21.19140625	23.046875
13.76953125	-1.67E-14	16.30859375	19.140625
9.375	-1.3671875	12.40234375	16.50390625
4.296875	-6.4453125	4.8828125	9.86328125
1.46484375	-8.3984375	1.953125	3.80859375
1.7578125	-8.984375	3.90625	0.390625
2.83203125	-7.03125	9.27734375	-0.1953125
7.71484375	-6.0546875	14.16015625	0.68359375
10.3515625	-6.8359375	16.11328125	1.7578125
18.75	-5.37109375	19.62890625	4.78515625
25.48828125	-5.2734375	20.8984375	5.95703125
35.05859375	-4.78515625	22.16796875	7.91015625
36.5234375	-4.4921875	23.4375	10.05859375
35.05859375	-3.7109375	19.921875	10.64453125
26.171875	-4.4921875	17.28515625	10.7421875
17.1875	-4.98046875	14.35546875	11.5234375
9.1796875	-9.86328125	10.3515625	9.765625
5.76171875	-12.59765625	6.15234375	6.4453125
3.80859375	-15.13671875	2.1484375	3.3203125
4.00390625	-11.71875	0.1953125	2.34375
